Term	DF	Offset
1	4	0
10	2	75
12	2	112
2	3	155
2000	1	209
2001	1	233
2007	1	256
2009	1	280
2011	1	304
2013	1	327
3	3	349
33	1	411
4	1	435
5	1	465
7	5	495
8	6	600
add	3	720
admin	1	777
advanced_uninstall_pro	2	801
advanced_uninstaller_pro	2	842
aero	1	888
afp	1	912
ali_larijani	1	944
an	1	968
an_ninh	2	992
and	1	1030
angelia_jolie	1	1051
apple	1	1074
ba_đình	1	1097
backup	1	1121
bahrain	1	1144
bao_gồm	2	1172
before	1	1214
bin	1	1236
biến	3	1258
biển	1	1310
biểu_tượng	2	1334
bkav	1	1380
buột	1	1403
bán_lẻ	1	1426
báo	2	1449
báo_cáo	3	1485
bình_thường	1	1547
bí_mật	1	1573
bùng_phát	1	1596
bạn_bè	1	1619
bản_quyền	1	1642
bảng	1	1669
bảo_hiểm	1	1697
bảo_hiểm_nhân_thọ	1	1729
bảo_mật	2	1752
bảo_vệ	1	1806
bấm	2	1829
bất_cứ	1	1868
bất_kỳ	1	1891
bất_động_sản	1	1912
bẩn	1	1935
bẫy	1	1959
bắc	1	1982
bắt	1	2006
bắt_mắt	1	2029
bắt_đầu	2	2053
bằng_chứng	1	2091
bến	1	2115
bể	1	2138
bịt	1	2162
bỏ_qua	1	2186
bốc	1	2208
bộ_phận	1	2232
bớt	2	2255
ca_sĩ	1	2292
can	1	2315
can_thiệp	1	2337
caodiễn	1	2364
cha_đẻ	1	2387
chi_tiết	2	2409
chia_sẻ	1	2451
chiếm	3	2474
chiếm_dụng	1	2539
chiến_dịch	1	2561
chiến_thắng	1	2585
cho_hay	1	2608
cho_phép	4	2635
chrome	1	2727
chuyên_biệt	1	2750
chuyên_dụng	1	2774
chuyên_gia	1	2796
chuyên_môn	1	2821
chuyên_nghiệp	1	2844
chuyên_sâu	1	2872
chuyển_đổi	1	2894
chuẩn_bị	2	2917
chuốc	1	2956
cháy	1	2980
châu	1	3011
chí_ít	1	3034
chính_phủ	2	3057
chính_sách	2	3095
chính_thức	2	3134
chóng_mặt	1	3176
chúng_tôi	2	3200
chương_trình	2	3246
chạy	2	3318
chấm_dứt	3	3365
chậm_chạp	1	3425
chật	1	3446
chắc_hẳn	1	3470
chẳng_hạn	1	3493
chỉnh	1	3515
chỉnh_sửa	1	3537
chống	1	3560
chờ_đợi	1	3582
chợ_đen	1	3606
chứa	1	3629
chức_năng	5	3653
chứng_minh	1	3802
click	1	3826
clip	1	3849
cnn	1	3872
coi	1	3896
compress	1	3919
compression	1	3942
computerworld	1	3968
context_menu_cleaner	1	3998
cookies	1	4020
copy	2	4043
cung	1	4083
cung_cấp	4	4107
custom_installation	1	4184
cuối_cùng	1	4206
cuộc_chiến	1	4228
cài	1	4255
cài_đặt	6	4278
cá_nhân	2	4440
cách_mạng	1	4480
cán_bộ	1	4503
cáo_buộc	1	4526
có_thể	9	4550
công_an	1	4722
công_chức	1	4762
công_cụ	5	4785
công_nghiệp	2	4883
công_nghệ	1	4926
công_thức	1	4949
công_ty	2	4973
cú	1	5018
căn_cứ_quân_sự	1	5041
cũ	2	5065
cơ_bản	1	5104
cơ_chế	1	5127
cơ_quan	1	5150
cơ_sở	2	5174
cơ_sở_dữ_liệu	1	5223
cạnh	1	5249
cảm_giác	1	5273
cảm_thấy	1	5295
cảng	1	5316
cảnh_báo	3	5339
cảnh_sát	1	5396
cấp_bậc	1	5420
cần_thiết	5	5446
cầu	1	5538
cẩn_thận	1	5562
cập_nhật	1	5585
cố_thủ	1	5619
cổ	1	5642
cộng	1	5666
cụ	1	5689
cụ_thể	2	5712
cửa	1	5751
cửa_sổ	3	5774
cực	1	5829
cực_kỳ	1	5852
danh_mục	1	5874
danh_sách	3	5897
dear_guest	1	5958
desktop	1	5980
direct_oem	1	6002
disk	1	6025
disk_cleaner	1	6048
diễn	2	6070
diễn_viên	1	6108
diễu_binh	1	6131
do_vậy	2	6155
doanh_nghiệp	1	6196
donald_trump	1	6235
download	1	6259
doạ	1	6281
drag	1	6309
drive	1	6330
dung_lượng	1	6353
duplicate	1	6388
duy_nhất	1	6410
duyệt	1	6432
dàng	1	6455
dò_tìm	2	6478
dòng_chảy	1	6520
dù_vậy	1	6544
dạng	2	6567
dấu_vết	1	6607
dần	1	6630
dầu	1	6654
dầu_khí	1	6678
dầu_mỏ	1	6713
dầu_thô	1	6744
dẫn_đầu	1	6768
dễ_dàng	1	6792
dịch_vụ	1	6814
dọn	1	6837
dọn_dẹp	3	6861
dụng	1	6911
dữ_liệu	2	6939
dự_kiến	2	6979
dự_định	1	7033
dựa	2	7056
eo_biển	1	7094
facebook	1	7122
file	5	7188
file_shredder	1	7332
files	1	7353
firefox	1	7375
font	1	7398
fujitsu	1	7421
general_tools	1	7444
gia_đình	1	7467
giang	1	7495
giao_diện	2	7519
giao_diện_thiết	1	7577
giao_thông	1	7599
giành	2	7623
giá	2	7661
giá_trị	1	7703
giám_đốc	1	7726
gián_điệp	2	7753
gián_đoạn	1	7789
giáo_dục	1	7813
giúp	5	7836
giả_mạo	1	7941
giải_quyết	2	7964
giải_trí	1	8001
giấy_tờ	1	8024
giới	2	8047
giới_thiệu	1	8085
giớitrở	1	8108
gmt	2	8132
group	1	8170
gây_hấn	1	8214
góc	1	8245
gói	1	8268
gấp	1	8291
gọi	1	8314
gọn	1	8338
gọn_gàng	1	8360
gốc	1	8382
gỡ	4	8404
hacker	2	8502
hai	2	8540
here	1	8582
hiện	3	8604
hiện_nay	2	8662
hiện_tượng	1	8700
hiện_tại	2	8724
hiệu_quả	1	8761
hiệu_ứng	1	8783
hormuz	1	8810
hoà_giải	1	8838
hoàn_toàn	6	8862
hoá_lỏng	1	8966
hoạch_định	1	8990
hoạt_động	7	9014
